text,labels
"LUM LED PANEL 2X2"" ATEN 500K 31.4W 120-277V",Iluminación
LUMINARIA 2FT 4010LM 4000K 120-277v 34.5w,Iluminación
WALLPACK 15-30W 3K-5K/FOTOCONT,Iluminación
REFLEC 10W C/SENSOR 120V-IP65,Iluminación
HIGH BAY LED12000LM 100W 5000K,Residencial
MTS. CABLE UTP 5E 4P PVC NEGRO C/RELLENO EXTERIOR,Conductores
CONTACTO DUPLEX 15 125V 5-15R EAGLE,Residencial
"EXTRACTOR ECONOMICO 4"" BLANCO ESTEVEZ",Extractores
EXTRACT TIPO JAPONES 6-PG,Extractores
PLACA 1V BLANCA ALPHA,Residencial
TERMI.AMARILLO CAL.12-10 3/16,Media Tensión
"CAJA CUAD TROQUELADA 4""X4""X11/2"" PROF 3/4"" 19MM",Tubería y canalización
"CAJA CONEX SENC ALUM C/3 3/4""  C/2 TAPON CIEGO",Tubería y canalización
AISLADOR POSTE 13-PD P-2025 (203753) C/AP,Media Tensión
MTS ALAMBRE THW CAL 12 NEGRO CAJA IUSA,Conductores
BASE SOQUET 4T-100 MCA. IUSA (202537),Distribución control y motores
MALETA PORTAHERRAMIENTAS PRO? BACKPACK,Herramientas
"PINZA ELECT ALTA PALANCA 9"" D210-9",Herramientas
MULTIMETRO DIGITAL 600V,Herramientas
PROBADOR VOLT SIN CONT 50-1000V,Herramientas
JUEGO 6 SACABOCADOS 1/2? A 2? EN ESTUCHE,Herramientas
CAJA PLEXO 80X80X45 7ENTRADAS,Tubería y canalización
COPLE GALVANIZADO E/A 4 (103MM),Tubería y canalización
CODO GALVANIZADO E/V 1 1/4 (35MM),Tubería y canalización
"TRAMO DE TUBO E/A 1/2"" C/C (16MM)",Tubería y canalización
PERFIL UNICANAL 4X2 PERF C-16,Tubería y canalización
LUM SOLAR 5000K 16W 3000LM NEGRA,Iluminación
CONECTOR MEDIA VUELTA INDUSTRIAL 20A 250V 2P3H NEMA L6-20R,Clavijas y contactos industriales
RECEPT MEDIA VUELTA INDUSTRIAL 20A 250V 2P3H NEMA L6-20R,Clavijas y contactos industriales
APAG ESCAL 10A 250V BLANCO,Residencial
TOMA TELEFÓNICA RJ11 CAT.3 BCO,Residencial
PLACA 3 MÓDULOS BLANCA,Residencial
KIT RECEPTÁCULO  DÚPLEX GRADO INDUSTRIAL TIERRA AISLADA 15A 125V 2P3H ALAMBRADO,Clavijas y contactos industriales
GAMMA LED 1200S 32W 100-305V 6000øK TRANSPARENTE,Iluminación
LUM LUNA 11W 100-240V 6000K 1100 LM,Iluminación
LUNA 9/8W 100-240V 60K BC,Iluminación
LUM TRACK W T8 LED OP 2X16W 100-240V 60K BC ESC*,Iluminación
PROYECTOR LED RGBW 1400LM 20W INTELIGENTE,Residencial
CANALETA T8 SIN TUBO LED 17W (NO INCLUYE EVERTUBE),Residencial
GABINETE SLIM T8 ELECT LED 2X17W BLANCO,Residencial
GABINETE T8 2X17W LED  DIFUSOR MULTIVOLTAJE 6500K,Iluminación
"CONECTOR P/VARILLA 1/2 Y 5/8""",Distribución
INTENSIFICADOR DE TIERRAS 11.3 KGS BURNDY,Distribución
ZAPATA MECANICA 4T-4/0T SPL,Distribución
CON. TOPE BIM. 6-6 S/AISLAR,Distribución
CONECTOR DERIV T AL 336-1/0 ACS BURNDY,Distribución
REFLECTOR 100-277 165W/850 BK 20000LUMEN,Residencial
FOTOCELDA LDV- PC-E- 120-277V-IP44-BLU,Iluminación
FOCO ADIT METAL 1000W CLARO,Iluminación
"MTS. POLIFLEX NARANJA 3/4"" ROLLO C/GUIA",Tubería y canalización
JGO. PORTL. SLIM LINE STD. BCO ROYER,Iluminación
PORTL. BASE REDONDA C. LATON ROYER,Iluminación
PLACA 2MOD ALUM DORADO CH/MET S-7000 ROYER,Residencial
CAJA ESTANCAS 100X100X55 IP65,Distribución control y motores
TRANS T/SECO 3KVA PRIM. 440V DELTA  SEC. 220Y/127V,Transformadores
CONMUTADOR REVERSIBLE /TAMBOR SQD,SCHNEIDER ELECTRIC
TRANS T/SECO 6KVA PRIM. 440V DELTA  SEC. 220Y/127V,Transformadores
ELEMENTO TERMICO B 25.0 SQD,Distribución control y motores
ZAPATAS P/800A CAL (3) 3/0-500 JUEGO,
JUEGO DE ZAPATAS MECANICAS,Distribución control y motores
BDA I.T.M. 1P 20A FASE A I-LINE,Distribución control y motores
INT. D/SEG. 2 X 60 D222N MCA. SQD,Distribución control y motores
INT DE SEG. S/PORTAFUSIBLES 2P 60A NEMA 3R,Distribución control y motores
CANALETA BCA 20X12 TRAMO 2M,Tubería y canalización
CABLECANAL SUP 25X25 RET+ADHESIVO x 2MTS,Tubería y canalización
CAJA PARA TOMA BCA 40MM,SCHNEIDER ELECTRIC
EDB I.T.M. 1P 70A M/E 277V SQUARE D,Distribución control y motores
GUARDAMOTOR 1.6-2.5 MCA. TELEMECANIQUE,Distribución control y motores
GABINETE P/DISYUNTOR SOBREPONE TME,Distribución control y motores
HDA I.T.M. 2P 40AMP 18KA CONEXION AB SQD,Distribución control y motores
INT. PP. I-L 3 POLOS 20 A SQUARE D,Distribución control y motores
APAG 3 VIAS 10A 127V 1 MOD BCO MARISIO,Residencial
